Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade
1,2,4,3,5,1,1,3,3,45.0
0,2,1,3,1,1,1,4,5,70.0
0,2,1,1,1,1,1,2,2,60.0
0,2,4,3,3,1,2,3,3,88.0
1,2,3,1,2,1,2,4,2,70.0
1,2,3,5,3,1,3,5,5,57.0
0,2,1,5,1,1,1,2,2,70.0
0,2,3,1,2,1,1,4,2,80.0
0,2,1,4,1,1,1,4,3,70.0
0,2,2,3,4,1,2,3,3,71.0
1,2,4,2,5,1,3,5,4,80.0
0,2,3,1,3,1,1,4,2,80.0
0,2,2,5,1,1,2,4,2,88.0
0,2,2,4,2,1,2,4,5,75.0
1,2,2,1,3,1,2,3,2,70.0
1,2,3,1,1,1,1,4,5,76.0
0,2,4,5,1,1,1,4,2,67.0
0,2,1,5,1,1,3,3,2,75.0
0,2,4,1,3,1,2,4,3,73.0
0,2,3,1,3,1,2,2,3,55.0
1,2,2,2,2,1,2,3,3,87.0
1,2,0,0,0,0,4,4,2,98.0
1,2,3,4,1,1,2,3,3,98.0
0,2,2,2,2,1,4,5,5,97.66
0,2,1,4,1,1,2,4,4,82.5
0,2,2,5,1,1,3,6,5,98.5
1,2,4,1,5,1,3,2,2,40.0
0,2,0,0,0,0,1,2,2,78.5
0,2,1,4,1,1,3,5,5,94.5
0,2,1,5,1,1,2,4,4,91.0
0,2,1,5,2,1,1,3,5,90.0
0,2,1,2,2,1,2,2,2,95.24
1,2,1,5,3,1,2,5,5,70.0
0,2,2,3,2,1,1,2,3,65.5
0,2,4,4,2,1,3,4,5,80.0
0,2,0,0,0,0,1,6,6,85.5
0,2,1,5,1,1,3,5,4,75.0
0,2,1,1,3,1,2,2,4,74.0
0,2,1,5,1,1,2,2,2,85.0
0,2,2,4,2,1,3,5,4,90.0
1,2,2,3,2,1,4,5,4,93.5
0,2,1,2,1,1,1,4,2,65.5
1,2,3,1,5,1,2,2,2,50.0
0,2,0,0,0,0,2,4,2,90.8
0,2,2,3,2,1,3,4,4,86.7
0,2,2,3,2,1,1,4,2,70.0
0,2,1,5,2,1,2,2,3,75.0
0,2,2,2,2,1,2,3,3,60.0
1,2,1,1,2,1,3,3,3,63.0
0,3,0,0,0,0,2,2,2,80.0
0,3,1,5,2,1,3,4,4,74.0
0,3,0,0,0,0,3,6,4,85.0
0,3,0,0,0,0,2,4,3,87.0
1,3,0,0,0,0,4,3,3,65.0
